coinmarketcap,currency,github,website
https://coinmarketcap.com/currencies/smartcoin/,smartcoin,https://github.com/psionin/smartcoin,http://smartcoin.cc/
https://coinmarketcap.com/currencies/advanced-internet-blocks/,advanced-internet-blocks,https://github.com/iobond/aib,http://aib.iobond.com/
https://coinmarketcap.com/currencies/infinitecoin/,infinitecoin,https://github.com/infinitecoin/infinitecoin,http://www.infiniteco.in
https://coinmarketcap.com/currencies/burst/,burst,https://github.com/burst-team/burstcoin,http://www.burst-team.us/
https://coinmarketcap.com/currencies/status/,status,https://github.com/status-im,http://status.im/
https://coinmarketcap.com/currencies/honey/,honey,https://github.com/cryptofun/honey/,http://honeycoin.info
https://coinmarketcap.com/currencies/chesscoin/,chesscoin,https://github.com/coinforchess/chesscoin,http://chesscoinpro.com/
https://coinmarketcap.com/currencies/grimcoin/,grimcoin,https://github.com/GrimReaperCoins/GRIM,http://reaper.rocks/
https://coinmarketcap.com/currencies/letitride/,letitride,https://github.com/shogdite/letitride,http://www.letitri.de/
https://coinmarketcap.com/currencies/ties-network/,ties-network,http://github.com/tiesnetwork,https://ties.network/
https://coinmarketcap.com/currencies/bitquark/,bitquark,https://github.com/quark-project/quark/,http://www.bitquark.info/
https://coinmarketcap.com/currencies/adelphoi/,adelphoi,https://github.com/adelecosystem,https://www.adelphoi.io/
https://coinmarketcap.com/currencies/hobonickels/,hobonickels,https://github.com/Crypto-Expert/HoboNickels,http://hobonickels.info/
https://coinmarketcap.com/currencies/bitgem/,bitgem,https://github.com/bitgem/bitgem,http://www.bitgem.pw/
https://coinmarketcap.com/currencies/goodomy/,goodomy,,http://goodomy.com/
https://coinmarketcap.com/currencies/hive/,hive,,https://www.hive-project.net/
https://coinmarketcap.com/currencies/asiccoin/,asiccoin,https://github.com/asiccoin/asiccoin,http://asiccoin.biz
https://coinmarketcap.com/currencies/sequence/,sequence,https://github.com/duality-solutions/,https://duality.solutions
https://coinmarketcap.com/currencies/kashhcoin/,kashhcoin,https://github.com/cashhcointech/kashhcoin,http://www.kashhcoin.com/
https://coinmarketcap.com/currencies/qash/,qash,,https://liquid.plus/
https://coinmarketcap.com/currencies/vsync-vsx/,vsync-vsx,https://github.com/VsyncCrypto/VSX,https://vsync.pw/
https://coinmarketcap.com/currencies/blockpay/,blockpay,,https://blockpay.ch/
https://coinmarketcap.com/currencies/litecoin-gold/,litecoin-gold,,http://www.litecoingold.info/
https://coinmarketcap.com/currencies/shilling/,shilling,https://github.com/yavwa/Shilling,https://digitalshilling.org/
https://coinmarketcap.com/currencies/pepe-cash/,pepe-cash,,http://rarepepedirectory.com/
https://coinmarketcap.com/currencies/vpncoin/,vpncoin,https://github.com/Bit-Net/vash,http://www.bitnet.cc/
https://coinmarketcap.com/currencies/megacoin/,megacoin,https://github.com/LIMXTEC/Megacoin,https://www.megacoin.eu/
https://coinmarketcap.com/currencies/digital-credits/,digital-credits,,http://dcredits.com/
https://coinmarketcap.com/currencies/goldmaxcoin/,goldmaxcoin,,http://gmxcoin.org/
https://coinmarketcap.com/currencies/shacoin/,shacoin,https://github.com/AltcoinsBeta/SHACoin-Dead,http://www.shacoin2.com/
https://coinmarketcap.com/currencies/mutual-coin/,mutual-coin,https://github.com/mutualcoin/mutualcoin,http://www.mutualcoin.info/
https://coinmarketcap.com/currencies/wild-crypto/,wild-crypto,,https://wildcrypto.com/
https://coinmarketcap.com/currencies/flaxscript/,flaxscript,https://github.com/thegreatoldone/flaxscript,http://flaxscript.org
https://coinmarketcap.com/currencies/corgicoin/,corgicoin,https://github.com/vashshawn/CorgicoinV2,https://corgicoinproofofstake.wordpress.com/ 
https://coinmarketcap.com/currencies/footy-cash/,footy-cash,https://github.com/FootyCash/,http://footycash.com/
https://coinmarketcap.com/currencies/operand/,operand,,http://www.operand.money/
https://coinmarketcap.com/currencies/xplay/,xplay,,https://xplay.fund/
https://coinmarketcap.com/currencies/b3coin/,b3coin,https://github.com/B3-Coin/B3-CoinV2,http://b3coin.net/
https://coinmarketcap.com/currencies/kickico/,kickico,https://github.com/kickico,https://www.kickico.com/
https://coinmarketcap.com/currencies/flycoin/,flycoin,,
https://coinmarketcap.com/currencies/rivetz/,rivetz,,https://rivetzintl.com/
https://coinmarketcap.com/currencies/adshares/,adshares,https://github.com/adshares,https://adshares.net/
https://coinmarketcap.com/currencies/wyvern/,wyvern,https://github.com/protinam/wyvern,https://www.projectwyvern.com/
https://coinmarketcap.com/currencies/deuscoin/,deuscoin,https://github.com/deuscoin-org,http://deuscoin.org/
